                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.7962,                 1.8935,                 2.4994,                0.75378,                0.66599,                0.72536,                0.55775,                 1.7953,                 2.2614,                 2.5563,               0.007327,               0.007327,               0.007327
                     56,                 1.8035,                 1.9139,                 2.5065,                0.75299,                0.66751,                0.72611,                0.55857,                 1.7933,                 2.2591,                 2.5551,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.7752,                 1.8536,                 2.5013,                0.75559,                0.66734,                0.72667,                0.55938,                 1.7923,                 2.2553,                 2.5546,               0.007228,               0.007228,               0.007228
                     58,                 1.8269,                 1.9183,                  2.527,                0.75686,                0.66758,                0.72727,                0.56005,                 1.7912,                 2.2522,                 2.5539,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.7672,                 1.8245,                 2.4893,                0.75731,                0.66823,                0.72753,                0.56043,                 1.7903,                 2.2482,                 2.5533,               0.007129,               0.007129,               0.007129
                     60,                 1.7894,                  1.827,                 2.5065,                0.75526,                0.67004,                0.72819,                0.56107,                  1.789,                 2.2459,                 2.5529,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.7653,                 1.8481,                  2.492,                0.75603,                0.66938,                0.72807,                0.56128,                    inf,                 2.2424,                 2.5504,                0.00703,                0.00703,                0.00703
                     62,                 1.7687,                 1.7862,                  2.491,                 0.7577,                 0.6687,                 0.7289,                 0.5621,                    inf,                 2.2381,                 2.5501,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.7771,                 1.7914,                 2.4828,                0.75946,                0.66796,                0.73054,                0.56388,                 1.7832,                 2.2337,                 2.5489,               0.006931,               0.006931,               0.006931
                     64,                 1.7924,                 1.8035,                 2.4984,                0.76326,                 0.6676,                0.73113,                0.56463,                    inf,                  2.231,                 2.5485,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.7653,                 1.7973,                 2.5003,                0.76466,                0.66665,                0.73161,                0.56514,                    inf,                  2.227,                 2.5473,               0.006832,               0.006832,               0.006832
                     66,                 1.7541,                 1.7713,                 2.4767,                 0.7654,                0.66621,                 0.7318,                0.56564,                 1.7794,                 2.2227,                 2.5466,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.7565,                 1.7427,                 2.4706,                0.76045,                0.67028,                 0.7325,                0.56641,                 1.7787,                 2.2184,                 2.5465,               0.006733,               0.006733,               0.006733
                     68,                 1.7401,                 1.7368,                 2.4776,                0.76404,                0.66809,                0.73161,                0.56585,                  1.779,                 2.2166,                 2.5474,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.7411,                 1.7424,                 2.4646,                0.76082,                0.66996,                0.73166,                0.56583,                 1.7797,                 2.2132,                 2.5485,               0.006634,               0.006634,               0.006634
                     70,                 1.7521,                 1.7023,                 2.4484,                0.75836,                0.67213,                0.73182,                0.56627,                 1.7776,                 2.2092,                 2.5461,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.7876,                  1.767,                 2.4968,                0.76522,                0.66794,                0.73192,                0.56655,                  1.776,                 2.2051,                 2.5452,               0.006535,               0.006535,               0.006535
                     72,                 1.7318,                 1.7165,                  2.472,                0.76606,                0.66848,                0.73201,                0.56688,                 1.7742,                 2.2015,                 2.5439,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.7399,                  1.713,                  2.457,                0.76779,                0.66706,                0.73175,                0.56652,                    inf,                 2.1983,                  2.543,               0.006436,               0.006436,               0.006436
                     74,                 1.7639,                 1.6958,                  2.456,                0.76331,                0.67115,                0.73234,                0.56699,                 1.7735,                 2.1937,                 2.5427,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.7029,                 1.6652,                 2.4464,                0.77012,                0.66801,                0.73292,                0.56753,                 1.7726,                 2.1895,                 2.5422,               0.006337,               0.006337,               0.006337
                     76,                 1.7461,                 1.7083,                 2.4607,                0.77234,                0.66698,                0.73352,                0.56834,                 1.7719,                  2.187,                 2.5417,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.7117,                 1.6743,                 2.4488,                0.77323,                0.66757,                0.73336,                0.56845,                    inf,                 2.1854,                  2.543,               0.006238,               0.006238,               0.006238
                     78,                 1.7214,                 1.6699,                 2.4547,                0.77272,                0.66814,                0.73341,                0.56858,                    inf,                 2.1823,                 2.5423,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.7373,                 1.6558,                  2.466,                0.77206,                 0.6697,                0.73394,                0.56929,                 1.7711,                 2.1812,                 2.5428,               0.006139,               0.006139,               0.006139
                     80,                 1.7219,                 1.6478,                 2.4477,                0.77062,                0.67154,                0.73424,                0.56961,                 1.7704,                 2.1838,                 2.5424,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.7059,                 1.6243,                 2.4306,                0.77496,                0.66884,                0.73461,                0.57016,                 1.7685,                 2.1871,                 2.5416,                0.00604,                0.00604,                0.00604
